ICAO;NAME;ELEVEATION IN FT;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH
01ID;LAVA HOT SPRINGS;5268;14;2894;32;2894;;;;;;;;;;;;
01NK;GRANVILLE;421;16;2500;34;2500;;;;;;;;;;;;
01TX;OX RANCH;1293;17;5800;35;5800;;;;;;;;;;;;
01WI;PREHN CRANBERRY COMPANY;930;1;2600;19;2600;;;;;;;;;;;;
02WA;CAWLEYS SOUTH PRAIRIE;690;16;2650;34;2650;;;;;;;;;;;;
04WN;STILLWATER CREEK;1510;11;4100;29;4100;;;;;;;;;;;;
06FA;GWINN;28;9;7003;27;7003;;;;;;;;;;;;
06WN;WESTERN;394;9;2845;27;2845;;;;;;;;;;;;
07FA;OCEAN REEF CLUB;6;5;4451;23;4451;;;;;;;;;;;;
07MT;GLASGOW INDUSTRIAL;2762;10;13500;28;13500;;;;;;;;;;;;
09CL;ALTA SIERRA;2280;1;2834;19;2834;;;;;;;;;;;;
0AA1;YAKATAGA;16;8;4350;26;4350;;;;;;;;;;;;
0AA4;FAREWELL;1535;8;4600;26;4600;;;;;;;;;;;;
0CL3;NICHOLS;500;9;2036;27;2036;;;;;;;;;;;;
0CN1;FIORINI RANCH;140;16;2229;34;2229;;;;;;;;;;;;
0TA8;B FLYING RANCH;1400;16;1270;34;1270;;;;;;;;;;;;
0TE7;LBJ RANCH;1515;17;6291;35;6291;;;;;;;;;;;;
0TX1;PECAN PLANTATION;710;1;3500;19;3500;;;;;;;;;;;;
0WA1;DWIGHT;350;16;2000;34;2000;;;;;;;;;;;;
0xA4;SEVEN CS RANCH;336;15;5005;33;5005;;;;;;;;;;;;
0xA5;74 RANCH;317;14;3887;32;3887;;;;;;;;;;;;
0XS7;ANACACHO RANCH;1067;13;6000;31;6000;;;;;;;;;;;;
10AR;HICKORY RIDGE;320;7;2500;25;2500;;;;;;;;;;;;
10CO;MACK MESA;4724;7;2600;25;2600;;;;;;;;;;;;
10FA;FLYING BARON ESTATES;75;11;2575;29;2575;;;;;;;;;;;;
11WY;THOMPSON CREEK OILFIELD;3814;7;3000;25;3000;;;;;;;;;;;;
12CL;NEWTON FIELD;194;14;2790;32;2790;;;;;;;;;;;;
12LS;HAINS;20;1;2100;19;2100;;;;;;;;;;;;
12NK;WESTPORT;276;1;2700;19;2700;;;;;;;;;;;;
13ME;SOCATEAN BAY;1196;9;2200;27;2200;;;;;;;;;;;;
14ME;RING HILL;340;16;1100;34;1100;;;;;;;;;;;;
14TS;WYATT;537;16;6010;34;6010;;;;;;;;;;;;
15FL;CANNON CREEK AIRPARK;125;9;2600;18;3500;27;2600;36;3500;;;;;;;;
16TX;HAMLIN MUN;1753;16;3200;34;3200;;;;;;;;;;;;
17AR;BREDLOW FARM;233;18;2200;36;2200;;;;;;;;;;;;
17FL;JUMBOLAIR;100;18;7550;36;7550;;;;;;;;;;;;
17NK;RE-DUN;1351;17;2800;35;2800;;;;;;;;;;;;
17XS;QUAHADI RANCH;1422;1;6295;19;6295;;;;;;;;;;;;
18AZ;SKY RANCH AT CAREFREE;2568;6;4037;24;4037;;;;;;;;;;;;
18FD;SKYPARK ESTATES OWNERS ASSOC;250;9;3015;27;3015;;;;;;;;;;;;
18NV;EMPIRE;3990;7;3170;18;3770;25;3170;36;3770;;;;;;;;
19MT;N BAR RANCH;4446;6;6000;24;6000;;;;;;;;;;;;
1CO5;MELON;4260;8;3780;18;2500;26;3780;36;2500;;;;;;;;
1NK7;BOONVILLE INC;1200;13;2800;31;2800;;;;;;;;;;;;
1TX4;NEW GULF;100;15;4300;33;4300;;;;;;;;;;;;
1VA1;MICRO;2964;8;5020;26;5020;;;;;;;;;;;;
1XA4;MIKESKA;161;15;1970;33;1970;;;;;;;;;;;;
1XS4;RED SANDS RANCH;1366;17;2650;35;2650;;;;;;;;;;;;
20GA;SMALL JR/STOCKMAR;1110;10;4500;28;4500;;;;;;;;;;;;
22FA;HIDDEN RIVER;47;9;2525;27;2525;;;;;;;;;;;;
23MU;OSCEOLA MUN;900;18;2430;36;2430;;;;;;;;;;;;
24AZ;PLEASANT VALLEY;5688;6;3950;24;3950;;;;;;;;;;;;
24MO;MISTWOOD;760;7;2800;25;2800;;;;;;;;;;;;
25NV;PARKER CARSON;4939;6;815;18;2200;24;815;36;2200;;;;;;;;
25TS;MILLER;3961;17;6500;35;6500;;;;;;;;;;;;
27XS;SPORT FLYERS;180;17;4091;35;4091;;;;;;;;;;;;
29IA;HILLTOP;1120;17;3049;35;3049;;;;;;;;;;;;
2CA4;BLACKINTON;1156;17;2200;35;2200;;;;;;;;;;;;
2CL1;BROWNSVILLE;2120;6;2326;24;2326;;;;;;;;;;;;
2CN4;WONDERFUL PISTACHIOS  ALMONDS;617;16;5002;34;5002;;;;;;;;;;;;
2IL9;MEADOW CREEK;770;4;3400;22;3400;;;;;;;;;;;;
2KS6;FLYING H;1192;18;2700;36;2700;;;;;;;;;;;;
2MD5;HOBY WOLF;600;2;2000;20;2000;;;;;;;;;;;;
2MI5;SOMERVILLE;660;9;3050;27;3050;;;;;;;;;;;;
2NC0;MOUNTAIN AIR;4432;14;2900;32;2900;;;;;;;;;;;;
2NR2;ELKINS FIELD;93;1;2000;19;2000;;;;;;;;;;;;
2SC8;GASTON;460;11;3350;29;3350;;;;;;;;;;;;
2TA8;EL COYOTE RANCH;182;13;5499;31;5499;;;;;;;;;;;;
2TX0;BLUE SKY;3615;17;3800;35;3800;;;;;;;;;;;;
2VG2;UPPERVILLE;558;13;5100;31;5100;;;;;;;;;;;;
2XA0;FOARD CO;1479;17;3200;35;3200;;;;;;;;;;;;
2XS2;INDIO-FAITH;758;15;5164;33;5164;;;;;;;;;;;;
31CD;DIAMOND STAR RANCH;6010;4;5000;22;5000;;;;;;;;;;;;
31VA;ABERDEEN FIELD;33;2;5921;20;5921;;;;;;;;;;;;
36CA;STONE LAND;265;16;3300;34;3300;;;;;;;;;;;;
37XA;SKYDIVE HOUSTON;235;17;4190;35;4190;;;;;;;;;;;;
38AZ;BEDARD FIELD;6581;2;7500;20;7500;;;;;;;;;;;;
38WV;RIVERS EDGE FARM;810;4;1500;22;1500;;;;;;;;;;;;
38XS;SAN RAFAEL RANCH;313;14;6000;32;6000;;;;;;;;;;;;
3FL0;MOUNT ROYAL;41;8;3000;26;3000;;;;;;;;;;;;
3GA3;WARREN;1866;4;1500;22;1500;;;;;;;;;;;;
3LA4;LITTLE PECAN ISLAND;7;12;4002;30;4002;;;;;;;;;;;;
3MS9;UNION MUN;512;10;2550;28;2550;;;;;;;;;;;;
3NJ1;PEMBERTON;65;4;2568;22;2568;;;;;;;;;;;;
3NJ6;INDUCTOTHERM;72;2;4002;20;4002;;;;;;;;;;;;
3NR3;TRANSYLVANIA COMMUNITY;2110;9;2903;27;2903;;;;;;;;;;;;
3PN7;STAHLS MOUNTAIN;1950;2;2200;20;2200;;;;;;;;;;;;
40AR;LOST BRIDGE VILLAGE;1440;13;3150;31;3150;;;;;;;;;;;;
40XS;SASSER;897;15;3000;33;3000;;;;;;;;;;;;
42XS;TRIPLE B RANCH;490;13;5000;31;5000;;;;;;;;;;;;
44CL;BALSDON;35;12;2323;30;2323;;;;;;;;;;;;
46MI;CLOUD NINE WEST;910;18;2400;36;2400;;;;;;;;;;;;
4AK6;WOLF LAKE;540;6;3800;9;2800;18;2600;24;3800;27;2800;36;2600;;;;
4FL5;RIDGE LANDING;140;15;3000;33;3000;;;;;;;;;;;;
4GA5;PETERSON;526;18;3255;36;3255;;;;;;;;;;;;
4KS5;MAIZE;1336;17;2100;35;2100;;;;;;;;;;;;
4MO1;MONTGOMERY-WEHRMAN;778;3;2360;21;2360;;;;;;;;;;;;
4OK8;LAVERNE MUN;2112;17;3950;35;3950;;;;;;;;;;;;
4WI7;VINCENT;880;9;1775;27;1775;;;;;;;;;;;;
4WI9;CORNELL MUN;1154;9;2420;27;2420;;;;;;;;;;;;
51MO;PLATTSBURG;1020;18;2100;36;2100;;;;;;;;;;;;
53KT;LIBERTY-CASEY CO;1040;1;3000;19;3000;;;;;;;;;;;;
54CL;LAKE RIVERSIDE ESTATES;3410;10;3500;28;3500;;;;;;;;;;;;
55CL;STRAIN RANCH;123;17;3000;35;3000;;;;;;;;;;;;
57AZ;LA CHOLLA;2953;1;4670;19;4670;;;;;;;;;;;;
58CL;BORREGO AIR RANCH;576;8;2610;18;1100;26;2610;36;1100;;;;;;;;
59FD;BIG CYPRESS AIRFIELD;20;10;5596;28;5596;;;;;;;;;;;;
5AZ3;PEGASUS;1450;8;5000;26;5000;;;;;;;;;;;;
5KY4;STANDARD;665;13;2930;31;2930;;;;;;;;;;;;
5MD1;BROOKLANDVILLE HELIPORT;291;8;1200;26;1200;;;;;;;;;;;;
5NC2;SUGAR VALLEY;731;02L;2424;02R;1000;20L;1000;20R;2424;;;;;;;;
5TE0;COMANCHE RANCH;734;15;5500;33;5500;;;;;;;;;;;;
5TX0;HIDDEN VALLEY;611;17;2600;35;2600;;;;;;;;;;;;
5TX1;BAR TRIANGLE;1684;2;1300;20;1300;;;;;;;;;;;;
62AL;SKYWEST AIRPARK;150;11;2467;29;2467;;;;;;;;;;;;
62GA;SEVEN LAKES;630;18;2930;36;2930;;;;;;;;;;;;
64OG;ANTONE RANCH;3908;7;5180;25;5180;;;;;;;;;;;;
65MO;MALONE;300;18;2860;36;2860;;;;;;;;;;;;
65NK;APEX;1130;9;2750;27;2750;;;;;;;;;;;;
66TE;THE LANDINGS;708;17;3100;35;3100;;;;;;;;;;;;
68IS;CASA DE AERO PARK;860;9;2998;27;2998;;;;;;;;;;;;
68MI;SALINE;820;3;1665;9;1850;21;1665;27;1850;;;;;;;;
6FL8;AMES;64;18;2600;36;2600;;;;;;;;;;;;
6MN7;SODBUSTER;1200;18;1562;36;1562;;;;;;;;;;;;
6NC1;LITTLE MOUNTAIN;1030;3;3000;21;3000;;;;;;;;;;;;
6TE6;6666 RANCH;1777;1;5098;19;5098;;;;;;;;;;;;
6TE9;MC KENZIE;360;9;2840;27;2840;;;;;;;;;;;;
6TS3;TXAEROSPORT;855;17;3200;35;3200;;;;;;;;;;;;
72IN;RIVER VIEW;640;18;2500;36;2500;;;;;;;;;;;;
72TE;CHAPARROSA RANCH;682;15;5200;33;5200;;;;;;;;;;;;
74TE;FLAT TOP RANCH;960;18;4191;36;4191;;;;;;;;;;;;
75OA;DARBY DAN;928;9;5892;27;5892;;;;;;;;;;;;
76LS;COOL CREEK;251;9;2500;27;2500;;;;;;;;;;;;
77NV;FLYING EAGLE;4220;7;4049;16;4564;25;4049;34;4564;;;;;;;;
77XS;GARRETT RANCH;30;6;3000;24;3000;;;;;;;;;;;;
79ID;CLEAR CREEK INT;1800;15;1100;33;1100;;;;;;;;;;;;
79KY;LUCAS FIELD;906;9;5488;27;5488;;;;;;;;;;;;
79VG;PERKEY;1200;7;2250;25;2250;;;;;;;;;;;;
7FL6;SPRUCE CREEK;25;6;4002;24;4002;;;;;;;;;;;;
7GA7;BERRY HILL;770;11;3000;29;3000;;;;;;;;;;;;
7KS9;EAGLE FIELD;1379;17;3600;35;3600;;;;;;;;;;;;
7LA4;KIBS;51;9;2640;27;2640;;;;;;;;;;;;
7MN4;MILLE LACS LAKE;1261;3;2500;9;1250;21;2500;27;1250;;;;;;;;
7MS4;CLOUD 9;250;18;3000;36;3000;;;;;;;;;;;;
7TX0;DANAHER;986;17;3500;35;3500;;;;;;;;;;;;
80TN;BIG T;900;5;1700;23;1700;;;;;;;;;;;;
82IS;LANDINGS;888;13;3141;31;3141;;;;;;;;;;;;
82MI;RANDOLPHS LANDING AREA;700;5;2175;23;2175;;;;;;;;;;;;
82TE;REMEMBERANCE;3276;17;3450;35;3450;;;;;;;;;;;;
82TS;ELMDALE;1775;17;2950;18;3270;35;2950;36;3270;;;;;;;;
84KS;ST MARYS;1220;18;2514;36;2514;;;;;;;;;;;;
85NK;CAMPBELL;1666;8;2495;26;2495;;;;;;;;;;;;
86IS;MICHAEL PFISTER;805;9;2200;27;2200;;;;;;;;;;;;
86KS;COBERLY;2540;18;4492;36;4492;;;;;;;;;;;;
88AZ;GRAPEVINE;2329;17;3800;35;3800;;;;;;;;;;;;
89NY;MAXSON AIRFIELD;340;6;4280;24;4280;;;;;;;;;;;;
89TE;LAJITAS INTL;2638;7;7505;25;7505;;;;;;;;;;;;
89TS;CARTER RANCH;215;18;5197;36;5197;;;;;;;;;;;;
8CL1;LAKE WOHLFORD RESORT;1643;3;1345;21;1345;;;;;;;;;;;;
8GA9;BROOKBRIDGE;820;2;3000;20;3000;;;;;;;;;;;;
8MN3;BREEZY POINT;1255;17;2576;35;2576;;;;;;;;;;;;
8NK4;BETHANY;1000;9;2800;27;2800;;;;;;;;;;;;
8TX6;HARKEY RANCH;1674;18;4285;36;4285;;;;;;;;;;;;
8VA1;SLATE RIVER;470;13;4600;31;4600;;;;;;;;;;;;
90NY;HOPEWELL;730;1;1495;7;1425;19;1495;25;1425;;;;;;;;
92CA;WESTLAKE FARMS;192;14;3600;32;3600;;;;;;;;;;;;
92NK;OWASCO;1378;10;2300;28;2300;;;;;;;;;;;;
94FL;PINE SHADOWS;20;9;3200;27;3200;;;;;;;;;;;;
94TS;HIDDEN SPRINGS RANCH;485;7;2500;25;2500;;;;;;;;;;;;
95NE;LIGHTNER RANCH;1607;14;2550;32;2550;;;;;;;;;;;;
95TA;THUNDER CREEK;1500;4;2700;22;2700;;;;;;;;;;;;
95WI;WISERSKY;965;18;1295;36;1295;;;;;;;;;;;;
9AK5;SKY HARBOR;340;16;1800;34;1800;;;;;;;;;;;;
9IS0;CEDAR RIDGE;670;9;3408;27;3408;;;;;;;;;;;;
9IS2;SCHERTZ;758;9;2400;18;3177;27;2400;36;3177;;;;;;;;
9KY9;PAINTSVILLE-PRESTONSBURG-COMBS;624;13;3070;31;3070;;;;;;;;;;;;
9NM9;SPACEPORT AMERICA;4595;16;12000;34;12000;;;;;;;;;;;;
9TE2;JL BAR RANCH;2344;14;5301;32;5301;;;;;;;;;;;;
AGAT;ATOIFI;17;13;2769;31;2769;;;;;;;;;;;;
